id,name,amount,status
1,Alice,100.50,active
2,Bob,250.75,active
3,Carol,99.00,inactive
4,Dave,500.25,active
6,Frank,10.00,active
7,Grace,700.00,inactive
8,Heidi,80.10,active
9,Ivan,90.90,active
10,Judy,1000.00,active
11,Karl,11.11,inactive
12,Liam,120.12,active
13,Mia,130.13,active
14,Nina,140.14,inactive
15,Omar,150.15,active
16,Pia,160.16,active
17,Quinn,170.17,active
18,Raj,180.18,inactive
19,Sara,190.19,active
20,Tom,200.20,active
21,Uma,210.21,active
22,Vik,220.22,inactive
23,Wes,230.23,active
24,Xena,240.24,active
25,Yara,250.25,active
26,Zack,260.26,inactive
27,Aaron,270.27,active
28,Bella,280.28,active
29,Cody,290.29,inactive
30,Dina,300.30,active
